
Using:

java: 8.0.232-open
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.NoChangesBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Primitives, fileName = /primitives/primitives-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 394,821 ns/op
# Warmup Iteration   2: 365,711 ns/op
# Warmup Iteration   3: 370,511 ns/op
Iteration  37: 874,990 ns/op
Iteration  38: 868,769 ns/op
Iteration  39: 870,130 ns/op
Iteration  40: 871,377 ns/op
Iteration  41: 877,106 ns/op
Iteration  42: 871,988 ns/op
Iteration  43: 870,216 ns/op
Iteration  44: 871,343 ns/op
Iteration  45: 873,294 ns/op
Iteration  46: 875,746 ns/op
Iteration  47: 874,152 ns/op
Iteration  48: 876,397 ns/op
Iteration  49: 874,663 ns/op
Iteration  50: 879,637 ns/op
Iteration  51: 872,903 ns/op
Iteration  52: 876,708 ns/op
Iteration  53: 876,087 ns/op
Iteration  54: 877,518 ns/op
Iteration  55: 870,299 ns/op
Iteration  56: 874,842 ns/op
Iteration  57: 870,621 ns/op
Iteration  58: 877,850 ns/op
Iteration  59: 871,117 ns/op
Iteration  60: 870,366 ns/op
Iteration  61: 869,386 ns/op
Iteration  62: 879,332 ns/op
Iteration  63: 877,091 ns/op
Iteration  64: 885,682 ns/op
Iteration  65: 872,850 ns/op
Iteration  66: 870,984 ns/op
Iteration  67: 881,455 ns/op
Iteration  68: 871,525 ns/op
Iteration  69: 874,512 ns/op
Iteration  70: 870,901 ns/op
Iteration  71: 876,511 ns/op
Iteration  72: 873,576 ns/op
Iteration  73: 870,411 ns/op
Iteration  74: 870,915 ns/op
Iteration  75: 869,861 ns/op
Iteration  76: 883,590 ns/op
Iteration  77: 869,472 ns/op
Iteration  78: 870,666 ns/op
Iteration  79: 876,172 ns/op
Iteration  80: 869,724 ns/op
Iteration  81: 869,712 ns/op
Iteration  82: 870,672 ns/op
Iteration  83: 876,032 ns/op
Iteration  84: 876,417 ns/op
Iteration  85: 869,676 ns/op
Iteration  86: 874,792 ns/op
Iteration  87: 871,387 ns/op
Iteration  88: 873,864 ns/op
Iteration  89: 876,211 ns/op
Iteration  90: 875,185 ns/op
Iteration  91: 885,021 ns/op
Iteration  92: 870,824 ns/op
Iteration  93: 869,233 ns/op
Iteration  94: 876,162 ns/op
Iteration  95: 871,042 ns/op
Iteration  96: 869,067 ns/op
Iteration  97: 875,452 ns/op
Iteration  98: 874,419 ns/op
Iteration  99: 872,080 ns/op
Iteration 100: 869,561 ns/op


Result "dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark":
  874,015 ±(99.9%) 1,444 ns/op [Average]
  (min, avg, max) = (867,928, 874,015, 893,375), stdev = 4,258
  CI (99.9%): [872,571, 875,459] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                       (className)               (fileName)  Mode  Cnt    Score   Error  Units
LambdaBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-6.json  avgt  100  874,015 ± 1,444  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Objects, fileName = /objects/objects-10.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 1394,642 ns/op
# Warmup Iteration   2: 1315,300 ns/op
# Warmup Iteration   3: 1324,606 ns/op
Iteration   1: 1320,608 ns/op
Iteration   2: 1322,812 ns/op
Iteration   3: 1321,713 ns/op
Iteration   4: 1319,886 ns/op
Iteration   5: 1333,004 ns/op
Iteration   6: 1328,073 ns/op
Iteration   7: 1326,530 ns/op
Iteration   8: 1327,560 ns/op
Iteration   9: 1321,884 ns/op
Iteration  10: 1329,916 ns/op
Iteration  11: 1325,749 ns/op
Iteration  12: 1323,146 ns/op
Iteration  13: 1329,824 ns/op
Iteration  14: 1322,164 ns/op
Iteration  15: 1325,771 ns/op
Iteration  16: 1322,200 ns/op
Iteration  17: 1324,277 ns/op
Iteration  18: 1331,919 ns/op
Iteration  19: 1326,105 ns/op
Iteration  20: 1322,902 ns/op
Iteration  21: 1323,299 ns/op
Iteration  22: 1324,584 ns/op
Iteration  23: 1327,839 ns/op
Iteration  24: 1324,962 ns/op
Iteration  25: 1323,572 ns/op
Iteration  26: 1324,924 ns/op
Iteration  27: 1323,729 ns/op
Iteration  28: 1323,654 ns/op
Iteration  29: 1322,420 ns/op
Iteration  30: 1326,360 ns/op
Iteration  31: 1322,077 ns/op
Iteration  32: 1325,164 ns/op
Iteration  33: 1332,366 ns/op
Iteration  34: 1327,128 ns/op
Iteration  35: 1328,126 ns/op
Iteration  36: 1339,411 ns/op
Iteration  37: 1340,554 ns/op
Iteration  38: 1329,721 ns/op
Iteration  39: 1327,284 ns/op
Iteration  40: 1330,935 ns/op
Iteration  41: 1324,292 ns/op
Iteration  42: 1323,622 ns/op
Iteration  43: 1327,823 ns/op
Iteration  44: 1331,609 ns/op
Iteration  45: 1325,762 ns/op
Iteration  46: 1324,508 ns/op
Iteration  47: 1326,288 ns/op
Iteration  48: 1324,814 ns/op
Iteration  49: 1332,699 ns/op
Iteration  50: 1331,297 ns/op
Iteration  51: 1322,412 ns/op
Iteration  52: 1333,786 ns/op
Iteration  53: 1322,112 ns/op
Iteration  54: 1323,874 ns/op
Iteration  55: 1339,919 ns/op
Iteration  56: 1330,764 ns/op
Iteration  57: 1320,142 ns/op
Iteration  58: 1334,884 ns/op
Iteration  59: 1323,442 ns/op
Iteration  60: 1323,947 ns/op
Iteration  61: 1322,728 ns/op
Iteration  62: 1328,999 ns/op
Iteration  63: 1330,825 ns/op
Iteration  64: 1324,191 ns/op
Iteration  65: 1326,167 ns/op
Iteration  66: 1322,397 ns/op
Iteration  67: 1324,238 ns/op
Iteration  68: 1321,598 ns/op
Iteration  69: 1323,293 ns/op
Iteration  70: 1324,565 ns/op
Iteration  71: 1323,697 ns/op
Iteration  72: 1327,584 ns/op
Iteration  73: 1323,609 ns/op
Iteration  74: 1323,545 ns/op
Iteration  75: 1323,553 ns/op
Iteration  76: 1325,188 ns/op
Iteration  77: 1323,342 ns/op
Iteration  78: 1329,751 ns/op
Iteration  79: 1332,675 ns/op
Iteration  80: 1324,248 ns/op
Iteration  81: 1323,017 ns/op
Iteration  82: 1323,887 ns/op
Iteration  83: 1321,955 ns/op
Iteration  84: 1334,720 ns/op
Iteration  85: 1323,534 ns/op
Iteration  86: 1335,242 ns/op
Iteration  87: 1327,050 ns/op
Iteration  88: 1323,504 ns/op
Iteration  89: 1321,719 ns/op
Iteration  90: 1324,443 ns/op
Iteration  91: 1329,190 ns/op
Iteration  92: 1320,310 ns/op
Iteration  93: 1341,993 ns/op
Iteration  94: 1338,488 ns/op
Iteration  95: 1322,808 ns/op
Iteration  96: 1324,632 ns/op
Iteration  97: 1322,340 ns/op
Iteration  98: 1322,514 ns/op
Iteration  99: 1328,021 ns/op
Iteration 100: 1324,999 ns/op


Result "dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark":
  1326,427 ±(99.9%) 1,622 ns/op [Average]
  (min, avg, max) = (1319,886, 1326,427, 1341,993), stdev = 4,783
  CI (99.9%): [1324,805, 1328,049] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                       (className)                (fileName)  Mode  Cnt     Score   Error  Units
LambdaBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-10.json  avgt  100  1326,427 ± 1,622  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Objects, fileName = /objects/objects-20.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 2790,496 ns/op
# Warmup Iteration   2: 2628,127 ns/op
# Warmup Iteration   3: 2670,407 ns/op
Iteration   1: 2674,545 ns/op
Iteration   2: 2670,807 ns/op
Iteration   3: 2686,088 ns/op
Iteration   4: 2679,597 ns/op
Iteration   5: 2684,718 ns/op
Iteration   6: 2670,540 ns/op
Iteration   7: 2679,818 ns/op
Iteration   8: 2672,297 ns/op
Iteration   9: 2717,702 ns/op
Iteration  10: 2671,379 ns/op
Iteration  11: 2704,378 ns/op
Iteration  12: 2680,594 ns/op
Iteration  13: 2674,247 ns/op
Iteration  14: 2681,715 ns/op
Iteration  15: 2777,998 ns/op
Iteration  16: 2663,851 ns/op
Iteration  17: 2694,748 ns/op
Iteration  18: 2680,929 ns/op
Iteration  19: 2672,021 ns/op
Iteration  20: 2669,347 ns/op
Iteration  21: 2683,524 ns/op
Iteration  22: 2663,747 ns/op
Iteration  23: 2659,455 ns/op
Iteration  24: 2673,926 ns/op
Iteration  25: 2677,214 ns/op
Iteration  26: 2669,313 ns/op
Iteration  27: 2661,506 ns/op
Iteration  28: 2665,333 ns/op
Iteration  29: 2667,258 ns/op
Iteration  30: 2680,773 ns/op
Iteration  31: 2663,434 ns/op
Iteration  32: 2660,803 ns/op
Iteration  33: 2682,991 ns/op
Iteration  34: 2662,557 ns/op
Iteration  35: 2692,983 ns/op
Iteration  36: 2665,617 ns/op
Iteration  37: 2679,855 ns/op
Iteration  38: 2690,059 ns/op
Iteration  39: 2662,865 ns/op
Iteration  40: 2665,078 ns/op
Iteration  41: 2668,919 ns/op
Iteration  42: 2666,730 ns/op
Iteration  43: 2675,538 ns/op
Iteration  44: 2680,257 ns/op
Iteration  45: 2664,703 ns/op
Iteration  46: 2666,858 ns/op
Iteration  47: 2681,767 ns/op
Iteration  48: 2679,710 ns/op
Iteration  49: 2665,118 ns/op
Iteration  50: 2662,326 ns/op
Iteration  51: 2665,039 ns/op
Iteration  52: 2666,111 ns/op
Iteration  53: 2666,145 ns/op
Iteration  54: 2682,387 ns/op
Iteration  55: 2676,977 ns/op
Iteration  56: 2671,384 ns/op
Iteration  57: 2691,456 ns/op
Iteration  58: 2665,400 ns/op
Iteration  59: 2683,869 ns/op
Iteration  60: 2669,562 ns/op
Iteration  61: 2683,152 ns/op
Iteration  62: 2701,835 ns/op
Iteration  63: 2665,356 ns/op
Iteration  64: 2666,197 ns/op
Iteration  65: 2663,174 ns/op
Iteration  66: 2722,489 ns/op
Iteration  67: 2664,627 ns/op
Iteration  68: 2663,865 ns/op
Iteration  69: 2693,099 ns/op
Iteration  70: 2675,044 ns/op
Iteration  71: 2656,889 ns/op
Iteration  72: 2674,128 ns/op
Iteration  73: 2663,137 ns/op
Iteration  74: 2674,268 ns/op
Iteration  75: 2662,859 ns/op
Iteration  76: 2664,663 ns/op
Iteration  77: 2676,016 ns/op
Iteration  78: 2673,426 ns/op
Iteration  79: 2665,917 ns/op
Iteration  80: 2677,402 ns/op
Iteration  81: 2662,121 ns/op
Iteration  82: 2678,725 ns/op
Iteration  83: 2685,709 ns/op
Iteration  84: 2671,673 ns/op
Iteration  85: 2675,217 ns/op
Iteration  86: 2672,058 ns/op
Iteration  87: 2669,781 ns/op
Iteration  88: 2706,015 ns/op
Iteration  89: 2673,610 ns/op
Iteration  90: 2676,949 ns/op
Iteration  91: 2661,274 ns/op
Iteration  92: 2693,595 ns/op
Iteration  93: 2692,747 ns/op
Iteration  94: 2713,047 ns/op
Iteration  95: 2664,984 ns/op
Iteration  96: 2669,150 ns/op
Iteration  97: 2659,835 ns/op
Iteration  98: 2666,476 ns/op
Iteration  99: 2670,622 ns/op
Iteration 100: 2661,941 ns/op


Result "dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark":
  2675,989 ±(99.9%) 5,589 ns/op [Average]
  (min, avg, max) = (2656,889, 2675,989, 2777,998), stdev = 16,479
  CI (99.9%): [2670,400, 2681,578] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                       (className)                (fileName)  Mode  Cnt     Score   Error  Units
LambdaBenchmark.benchmark  dev.jgardo.jackson.model.Objects  /objects/objects-20.json  avgt  100  2675,989 ± 5,589  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Mixed, fileName = /mixed/mixed-2.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 402,895 ns/op
# Warmup Iteration   2: 375,964 ns/op
# Warmup Iteration   3: 375,852 ns/op
Iteration   1: 376,956 ns/op
Iteration   2: 375,003 ns/op
Iteration   3: 381,240 ns/op
Iteration   4: 387,039 ns/op
Iteration   5: 374,688 ns/op
Iteration   6: 374,653 ns/op
Iteration   7: 374,976 ns/op
Iteration   8: 377,888 ns/op
Iteration   9: 374,575 ns/op
Iteration  10: 374,154 ns/op
Iteration  11: 376,069 ns/op
Iteration  12: 374,423 ns/op
Iteration  13: 381,606 ns/op
Iteration  14: 375,330 ns/op
Iteration  15: 379,696 ns/op
Iteration  16: 375,220 ns/op
Iteration  17: 382,909 ns/op
Iteration  18: 375,314 ns/op
Iteration  19: 375,464 ns/op
Iteration  20: 375,282 ns/op
Iteration  21: 375,521 ns/op
Iteration  22: 374,967 ns/op
Iteration  23: 374,562 ns/op
Iteration  24: 375,103 ns/op
Iteration  25: 374,797 ns/op
Iteration  26: 375,065 ns/op
Iteration  27: 380,073 ns/op
Iteration  28: 376,999 ns/op
Iteration  29: 375,325 ns/op
Iteration  30: 375,090 ns/op
Iteration  31: 375,780 ns/op
Iteration  32: 382,748 ns/op
Iteration  33: 375,892 ns/op
Iteration  34: 374,930 ns/op
Iteration  35: 375,447 ns/op
Iteration  36: 376,517 ns/op
Iteration  37: 375,928 ns/op
Iteration  38: 373,755 ns/op
Iteration  39: 375,021 ns/op
Iteration  40: 384,195 ns/op
Iteration  41: 379,502 ns/op
Iteration  42: 377,530 ns/op
Iteration  43: 374,814 ns/op
Iteration  44: 376,853 ns/op
Iteration  45: 375,173 ns/op
Iteration  46: 378,275 ns/op
Iteration  47: 379,444 ns/op
Iteration  48: 376,680 ns/op
Iteration  49: 374,569 ns/op
Iteration  50: 389,953 ns/op
Iteration  51: 376,044 ns/op
Iteration  52: 374,934 ns/op
Iteration  53: 378,354 ns/op
Iteration  54: 377,302 ns/op
Iteration  55: 376,309 ns/op
Iteration  56: 376,349 ns/op
Iteration  57: 375,789 ns/op
Iteration  58: 376,191 ns/op
Iteration  59: 374,730 ns/op
Iteration  60: 376,814 ns/op
Iteration  61: 376,677 ns/op
Iteration  62: 380,252 ns/op
Iteration  63: 382,254 ns/op
Iteration  64: 374,928 ns/op
Iteration  65: 375,597 ns/op
Iteration  66: 384,875 ns/op
Iteration  67: 383,866 ns/op
Iteration  68: 375,604 ns/op
Iteration  69: 374,847 ns/op
Iteration  70: 376,962 ns/op
Iteration  71: 375,334 ns/op
Iteration  72: 374,824 ns/op
Iteration  73: 375,642 ns/op
Iteration  74: 378,055 ns/op
Iteration  75: 374,311 ns/op
Iteration  76: 376,807 ns/op
Iteration  77: 374,828 ns/op
Iteration  78: 375,759 ns/op
Iteration  79: 377,359 ns/op
Iteration  80: 374,963 ns/op
Iteration  81: 374,974 ns/op
Iteration  82: 374,991 ns/op
Iteration  83: 375,406 ns/op
Iteration  84: 376,426 ns/op
Iteration  85: 381,311 ns/op
Iteration  86: 379,077 ns/op
Iteration  87: 375,373 ns/op
Iteration  88: 376,387 ns/op
Iteration  89: 383,661 ns/op
Iteration  90: 375,416 ns/op
Iteration  91: 374,634 ns/op
Iteration  92: 377,089 ns/op
Iteration  93: 375,611 ns/op
Iteration  94: 380,998 ns/op
Iteration  95: 374,792 ns/op
Iteration  96: 375,351 ns/op
Iteration  97: 374,387 ns/op
Iteration  98: 374,873 ns/op
Iteration  99: 374,578 ns/op
Iteration 100: 374,554 ns/op


Result "dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark":
  376,894 ±(99.9%) 1,037 ns/op [Average]
  (min, avg, max) = (373,755, 376,894, 389,953), stdev = 3,056
  CI (99.9%): [375,858, 377,931] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                     (className)           (fileName)  Mode  Cnt    Score   Error  Units
LambdaBenchmark.benchmark  dev.jgardo.jackson.model.Mixed  /mixed/mixed-2.json  avgt  100  376,894 ± 1,037  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Mixed, fileName = /mixed/mixed-6.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 886,521 ns/op
# Warmup Iteration   2: 827,086 ns/op
# Warmup Iteration   3: 827,908 ns/op
Iteration   1: 835,308 ns/op
Iteration   2: 832,247 ns/op
Iteration   3: 836,991 ns/op
Iteration   4: 827,558 ns/op
Iteration   5: 827,737 ns/op
Iteration   6: 829,295 ns/op
Iteration   7: 834,772 ns/op
Iteration   8: 831,048 ns/op
Iteration   9: 829,491 ns/op
Iteration  10: 832,843 ns/op
Iteration  11: 825,761 ns/op
Iteration  12: 828,956 ns/op
Iteration  13: 825,601 ns/op
Iteration  14: 826,221 ns/op
Iteration  15: 826,522 ns/op
Iteration  16: 827,379 ns/op
Iteration  17: 831,068 ns/op
Iteration  18: 828,167 ns/op
Iteration  19: 849,514 ns/op
Iteration  20: 827,128 ns/op
Iteration  21: 830,969 ns/op
Iteration  22: 826,039 ns/op
Iteration  23: 826,424 ns/op
Iteration  24: 830,216 ns/op
Iteration  25: 832,358 ns/op
Iteration  26: 826,986 ns/op
Iteration  27: 828,163 ns/op
Iteration  28: 827,997 ns/op
Iteration  29: 833,684 ns/op
Iteration  30: 827,365 ns/op
Iteration  31: 829,735 ns/op
Iteration  32: 834,660 ns/op
Iteration  33: 831,366 ns/op
Iteration  34: 831,531 ns/op
Iteration  35: 828,754 ns/op
Iteration  36: 827,043 ns/op
Iteration  37: 826,111 ns/op
Iteration  38: 826,478 ns/op
Iteration  39: 826,058 ns/op
Iteration  40: 827,100 ns/op
Iteration  41: 828,974 ns/op
Iteration  42: 832,973 ns/op
Iteration  43: 829,047 ns/op
Iteration  44: 825,746 ns/op
Iteration  45: 826,281 ns/op
Iteration  46: 827,096 ns/op
Iteration  47: 827,771 ns/op
Iteration  48: 826,363 ns/op
Iteration  49: 826,784 ns/op
Iteration  50: 828,144 ns/op
Iteration  51: 827,275 ns/op
Iteration  52: 826,918 ns/op
Iteration  53: 826,593 ns/op
Iteration  54: 830,567 ns/op
Iteration  55: 826,693 ns/op
Iteration  56: 837,054 ns/op
Iteration  57: 831,713 ns/op
Iteration  58: 836,277 ns/op
Iteration  59: 828,507 ns/op
Iteration  60: 829,888 ns/op
Iteration  61: 827,625 ns/op
Iteration  62: 828,814 ns/op
Iteration  63: 827,344 ns/op
Iteration  64: 834,388 ns/op
Iteration  65: 827,570 ns/op
Iteration  66: 834,896 ns/op
Iteration  67: 828,477 ns/op
Iteration  68: 828,050 ns/op
Iteration  69: 825,703 ns/op
Iteration  70: 832,399 ns/op
Iteration  71: 827,090 ns/op
Iteration  72: 833,516 ns/op
Iteration  73: 828,443 ns/op
Iteration  74: 835,686 ns/op
Iteration  75: 826,078 ns/op
Iteration  76: 826,833 ns/op
Iteration  77: 833,390 ns/op
Iteration  78: 826,671 ns/op
Iteration  79: 834,944 ns/op
Iteration  80: 827,360 ns/op
Iteration  81: 826,674 ns/op
Iteration  82: 826,981 ns/op
Iteration  83: 830,165 ns/op
Iteration  84: 828,762 ns/op
Iteration  85: 835,694 ns/op
Iteration  86: 826,564 ns/op
Iteration  87: 825,588 ns/op
Iteration  88: 828,448 ns/op
Iteration  89: 826,179 ns/op
Iteration  90: 828,603 ns/op
Iteration  91: 827,072 ns/op
Iteration  92: 828,504 ns/op
Iteration  93: 832,609 ns/op
Iteration  94: 831,855 ns/op
Iteration  95: 826,531 ns/op
Iteration  96: 827,492 ns/op
Iteration  97: 831,031 ns/op
Iteration  98: 830,013 ns/op
Iteration  99: 827,702 ns/op
Iteration 100: 826,210 ns/op


Result "dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark":
  829,413 ±(99.9%) 1,242 ns/op [Average]
  (min, avg, max) = (825,588, 829,413, 849,514), stdev = 3,661
  CI (99.9%): [828,171, 830,654] (assumes normal distribution)


# Run complete. Total time: 00:02:10

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                     (className)           (fileName)  Mode  Cnt    Score   Error  Units
LambdaBenchmark.benchmark  dev.jgardo.jackson.model.Mixed  /mixed/mixed-6.json  avgt  100  829,413 ± 1,242  ns/op
# JMH version: 1.21
# VM version: JDK 1.8.0_232, OpenJDK 64-Bit Server VM, 25.232-b09
# VM invoker: /home/gardziol/.sdkman/candidates/java/8.0.232-open/jre/bin/java
# VM options: <none>
# Warmup: 3 iterations, 10 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: dev.jgardo.jackson.benchmark.LambdaBenchmark.benchmark
# Parameters: (className = dev.jgardo.jackson.model.Mixed, fileName = /mixed/mixed-10.json)

# Run progress: 0,00% complete, ETA 00:02:10
# Fork: 1 of 1
# Warmup Iteration   1: 1467,184 ns/op
# Warmup Iteration   2: 1349,129 ns/op
# Warmup Iteration   3: 1362,764 ns/op
Iteration   1: 1349,954 ns/op
Iteration   2: 1364,232 ns/op
Iteration   3: 1403,908 ns/op
Iteration   4: 1358,723 ns/op
Iteration   5: 1353,749 ns/op
Iteration   6: 1372,835 ns/op
Iteration   7: 1363,673 ns/op
Iteration   8: 1359,328 ns/op
Iteration   9: 1369,038 ns/op
Iteration  10: 1365,038 ns/op
Iteration  11: 1356,200 ns/op
Iteration  12: 1375,521 ns/op
Iteration  13: 1394,606 ns/op
Iteration  14: 1365,274 ns/op
Iteration  15: 1363,511 ns/op
Iteration  16: 1357,474 ns/op
Iteration  17: 1363,189 ns/op
Iteration  18: 1363,213 ns/op
Iteration  19: 1371,809 ns/op
Iteration  20: 1382,162 ns/op
Iteration  21: 1372,061 ns/op
Iteration  22: 1364,400 ns/op
Iteration  23: 1359,417 ns/op
Iteration  24: 1357,647 ns/op
Iteration  25: 1367,956 ns/op
Iteration  26: 1368,547 ns/op
Iteration  27: 1364,312 ns/op
Iteration  28: 1353,510 ns/op
Iteration  29: 1369,771 ns/op
Iteration  30: 1353,948 ns/op
Iteration  31: 1358,938 ns/op
Iteration  32: 1347,757 ns/op
Iteration  33: 1354,217 ns/op
Iteration  34: 1360,405 ns/op
Iteration  35: 1365,916 ns/op
Iteration  36: 1352,008 ns/op
Iteration  37: 1354,313 ns/op
Iteration  38: 1362,936 ns/op
Iteration  39: 1368,211 ns/op
Iteration  40: 1354,671 ns/op
Iteration  41: 1357,167 ns/op
Iteration  42: 1354,158 ns/op
Iteration  43: 1365,542 ns/op
Iteration  44: 1377,194 ns/op
Iteration  45: 1351,832 ns/op
Iteration  46: 1357,221 ns/op
Iteration  47: 1363,956 ns/op
Iteration  48: 1357,979 ns/op
Iteration  49: 1350,759 ns/op
Iteration  50: 1357,997 ns/op
Iteration  51: 1354,772 ns/op
Iteration  52: 1355,430 ns/op
Iteration  53: 1355,966 ns/op
Iteration  54: 1368,009 ns/op
Iteration  55: 1361,165 ns/op
Iteration  56: 1349,204 ns/op
Iteration  57: 1366,396 ns/op
Iteration  58: 1365,064 ns/op
Iteration  59: 1363,387 ns/op
Iteration  60: 1385,493 ns/op
Iteration  61: 1379,881 ns/op
Iteration  62: 1355,171 ns/op
Iteration  63: 1357,306 ns/op
Iteration  64: 1357,785 ns/op
Iteration  65: 1371,898 ns/op
Iteration  66: 1359,395 ns/op
Iteration  67: 1357,065 ns/op
Iteration  68: 1355,350 ns/op
Iteration  69: 1386,191 ns/op
Iteration  70: 1353,813 ns/op
Iteration  71: 1378,507 ns/op
Iteration  72: 1364,510 ns/op
Iteration  73: 1378,074 ns/op
Iteration  74: 1367,767 ns/op
Iteration  75: 1359,822 ns/op
Iteration  76: 1371,641 ns/op
Iteration  77: 1353,309 ns/op
Iteration  78: 1360,576 ns/op
Iteration  79: 1367,302 ns/op
Iteration  80: 1357,210 ns/op
Iteration  81: 1356,862 ns/op
Iteration  82: 1351,711 ns/op
Iteration  83: 1372,542 ns/op
Iteration  84: 1369,069 ns/op
Iteration  85: 1377,229 ns/op
Iteration  86: 1363,890 ns/op
Iteration  87: 1367,657 ns/op
